shop_id,order_amount,total_items
1,308.8181818181818,1.9545454545454546
2,174.3272727272727,1.8545454545454545
3,305.25,2.0625
4,258.5098039215686,2.019607843137255
5,290.31111111111113,2.0444444444444443
6,383.50847457627117,2.0508474576271185
7,218.0,1.9464285714285714
8,241.04347826086956,1.826086956521739
9,234.0,1.9830508474576272
10,332.3018867924528,2.2452830188679247
11,356.734693877551,1.9387755102040816
12,352.6981132075472,1.7547169811320755
13,345.3968253968254,2.1587301587301586
14,242.0,2.086206896551724
15,308.9423076923077,2.019230769230769
16,270.1463414634146,1.7317073170731707
17,332.07547169811323,1.8867924528301887
18,342.5882352941176,2.196078431372549
19,320.90625,1.96875
20,251.55769230769232,1.9807692307692308
21,308.69565217391306,2.1739130434782608
22,273.75,1.875
23,317.6727272727273,2.036363636363636
24,320.72727272727275,2.290909090909091
25,232.91666666666666,1.7916666666666667
26,341.2244897959184,1.9387755102040816
27,334.8703703703704,1.9814814814814814
28,320.3720930232558,1.9534883720930232
29,331.62068965517244,2.0344827586206895
30,295.07142857142856,1.9285714285714286
31,268.97872340425533,2.0851063829787235
32,189.97619047619048,1.880952380952381
33,376.275,2.175
34,234.24,1.92
35,328.0,2.0
36,254.8,1.96
37,340.2083333333333,2.3958333333333335
38,390.85714285714283,2.057142857142857
39,268.0,2.0
40,295.1666666666667,1.8333333333333333
41,254.0,2.152542372881356
42,235101.49019607843,667.9019607843137
43,333.91379310344826,1.8448275862068966
44,262.15384615384613,1.8205128205128205
45,269.3103448275862,1.896551724137931
46,347.4418604651163,2.0930232558139537
47,259.1489361702128,1.7872340425531914
48,242.775,2.075
49,279.9056603773585,2.169811320754717
50,403.54545454545456,2.090909090909091
51,361.80434782608694,1.934782608695652
52,316.9268292682927,2.1707317073170733
53,214.11764705882354,1.911764705882353
54,276.64,2.08
55,327.75,1.9166666666666667
56,218.1891891891892,1.864864864864865
57,296.77358490566036,2.018867924528302
58,254.94915254237287,1.847457627118644
59,358.96666666666664,2.0166666666666666
60,350.2340425531915,1.9787234042553192
61,344.44,2.18
62,308.83720930232556,1.930232558139535
63,264.9655172413793,1.9482758620689655
64,272.1860465116279,2.046511627906977
65,330.81481481481484,2.1481481481481484
66,312.8867924528302,1.9433962264150944
67,272.6216216216216,2.081081081081081
68,254.63829787234042,1.872340425531915
69,264.18333333333334,2.0166666666666666
70,343.06779661016947,1.9830508474576272
71,323.030303030303,1.9696969696969697
72,309.5652173913044,1.934782608695652
73,335.6896551724138,2.0344827586206895
74,306.0,2.0
75,240.76190476190476,1.880952380952381
76,321.07142857142856,2.0714285714285716
77,280.8,1.8
78,49213.04347826087,1.9130434782608696
79,328.48148148148147,1.8148148148148149
80,299.6666666666667,2.066666666666667
81,384.0,2.169491525423729
82,349.7857142857143,1.9761904761904763
83,248.78571428571428,1.9285714285714286
84,342.3050847457627,2.23728813559322
85,329.25714285714287,1.9142857142857144
86,277.5,2.1346153846153846
87,292.2692307692308,1.9615384615384615
88,355.52,2.02
89,379.1475409836066,1.9344262295081966
90,403.2244897959184,2.2653061224489797
91,325.9259259259259,2.037037037037037
92,162.85714285714286,1.8095238095238095
93,214.47457627118644,1.88135593220339
94,297.77777777777777,2.2222222222222223
95,318.7692307692308,1.8974358974358974
96,330.0,2.156862745098039
97,324.0,2.0
98,245.36206896551724,1.8448275862068966
99,339.44444444444446,1.7407407407407407
100,213.675,1.925
